File;Hackathon download URL;File size;Hackathon thumbnail URL;Inventory Number;stable URI;Metadata available at
MFNB_Col_Buprestidae_Julodinae_D003.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D003.jpg;201.278.046;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D003.jpg;MFNB_Col_Buprestidae_Julodinae_D003;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D003;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D003
MFNB_Col_Buprestidae_Julodinae_D004.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D004.jpg;156.858.899;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D004.jpg;MFNB_Col_Buprestidae_Julodinae_D004;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D004;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D004
MFNB_Col_Buprestidae_Julodinae_D005.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D005.jpg;220.988.325;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D005.jpg;MFNB_Col_Buprestidae_Julodinae_D005;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D005;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D005
MFNB_Col_Buprestidae_Julodinae_D006.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D006.jpg;191.110.582;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D006.jpg;MFNB_Col_Buprestidae_Julodinae_D006;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D006;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D006
MFNB_Col_Buprestidae_Julodinae_D007.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D007.jpg;158.182.363;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D007.jpg;MFNB_Col_Buprestidae_Julodinae_D007;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D007;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D007
MFNB_Col_Buprestidae_Julodinae_D008.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D008.jpg;176.729.400;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D008.jpg;MFNB_Col_Buprestidae_Julodinae_D008;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D008;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D008
MFNB_Col_Buprestidae_Julodinae_D009.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D009.jpg;103.259.042;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D009.jpg;MFNB_Col_Buprestidae_Julodinae_D009;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D009;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D009
MFNB_Col_Buprestidae_Julodinae_D010.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D010.jpg;228.691.733;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D010.jpg;MFNB_Col_Buprestidae_Julodinae_D010;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D010;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D010
MFNB_Col_Buprestidae_Julodinae_D010a.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D010a.jpg;227.875.272;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D010a.jpg;MFNB_Col_Buprestidae_Julodinae_D010a;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D010a;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D010a
MFNB_Col_Buprestidae_Julodinae_D011.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D011.jpg;80.238.697;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D011.jpg;MFNB_Col_Buprestidae_Julodinae_D011;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D011;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D011
